Počet predmetov = 200
Hmotnosť batohu = 14831
Účelová funkcia = 21054

Index prvku	Hmotnosť	Cena
3		69		66
6		90		135
7		76		87
9		71		102
12		79		75
13		73		81
16		66		108
19		59		66
23		88		111
24		70		132
26		75		120
27		86		102
28		88		120
29		74		129
32		72		123
33		81		96
34		73		81
35		72		102
38		75		69
39		70		75
41		89		150
44		60		132
46		66		87
47		65		147
50		59		99
52		74		120
54		82		69
58		80		138
60		89		63
62		80		75
63		88		96
64		67		102
65		87		72
66		68		60
71		74		123
72		60		105
77		64		81
80		80		69
82		73		63
83		87		66
86		67		144
87		81		69
91		83		72
96		67		150
97		64		147
100		73		135
102		69		135
106		69		78
108		74		72
110		84		114
111		74		93
113		73		99
117		62		117
119		68		129
120		78		93
122		61		84
123		81		105
125		79		63
126		62		135
137		82		141
138		74		138
139		83		144
140		65		96
141		90		144
143		82		60
144		77		90
147		64		150
151		75		120
152		69		60
154		78		60
160		84		99
163		62		147
164		84		132
168		63		129
175		64		111
178		65		120
180		69		111
185		87		141
188		64		123
190		82		63
192		61		138
194		68		105
195		73		63
197		80		84
202		85		75
203		73		135
205		71		84
209		63		78
210		87		150
211		71		126
213		75		141
214		90		60
215		68		75
219		68		129
225		87		144
227		82		81
228		87		60
229		73		117
230		71		123
231		65		81
235		72		117
242		60		69
244		76		120
250		67		105
251		76		129
253		69		126
257		61		138
260		76		69
263		70		126
264		84		96
267		73		93
269		88		87
270		88		96
271		62		90
273		76		117
274		85		84
278		88		111
279		62		123
280		79		138
284		64		147
285		64		129
287		80		102
290		89		111
292		83		105
294		79		141
295		64		111
298		83		135
303		64		69
305		85		129
310		83		147
311		69		111
312		74		93
313		67		102
318		75		81
319		88		111
320		68		135
321		63		123
326		74		135
327		69		60
331		84		105
333		60		60
334		78		129
335		62		69
341		85		138
348		70		114
351		60		150
356		72		84
357		80		123
358		64		144
361		69		135
362		64		84
367		75		108
374		88		84
386		86		105
387		70		84
390		68		105
392		74		150
393		87		90
397		68		96
398		66		75
402		65		102
413		71		135
414		79		111
415		61		129
416		62		120
419		85		81
421		67		90
426		72		123
429		85		69
430		59		99
431		66		120
432		69		63
441		68		81
443		86		150
444		89		75
445		60		66
448		86		93
450		81		144
451		76		66
458		87		60
463		84		138
465		67		126
467		85		93
468		67		78
469		76		105
472		76		132
473		84		90
474		70		144
475		82		96
476		81		141
478		89		75
479		83		129
483		66		150
485		69		96
487		63		102
491		76		117
493		85		129
494		63		81
496		72		66
497		63		87
